status,clinic_name,doctor_name,phone,rating,confidence,link
verified,Professors Dental Clinic - عيادة بروفيسورز لزراعة وتجميل الأسنان,Professors Dental Clinic,010 66345566,4.9,MEDIUM,https://www.google.com/maps/place/Professors+Dental+Clinic+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D8%B1%D9%88%D9%81%D9%8A%D8%B3%D9%88%D8%B1%D8%B2+%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9+%D9%88%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1458597d38f7c53b:0xdc0c4d2cfb73dd73!8m2!3d30.024488!4d31.011995!16s%2Fg%2F11fppvq02c!19sChIJO8X3OH1ZWBQRc91z-yxNDNw?authuser=0&hl=ar&rclk=1
verified,LDC - La Dent Care,محمد فريد,010 91101064,4.8,MEDIUM,https://www.google.com/maps/place/LDC+-+La+Dent+Care/data=!4m7!3m6!1s0x145857cf071ac0f5:0x9c8f88ce761e3ddd!8m2!3d29.9836426!4d30.9831426!16s%2Fg%2F11h3bh5z34!19sChIJ9cAaB89XWBQR3T0eds6Ij5w?authuser=0&hl=ar&rclk=1
verified,Shiny White Dental Centers Sheikh Zayed - Dr. Shady Ali Hussein,Shady Ali Hussein,010 33556449,4.8,HIGH,https://www.google.com/maps/place/Shiny+White+Dental+Centers+Sheikh+Zayed+-+Dr.+Shady+Ali+Hussein/data=!4m7!3m6!1s0x14585bdb4b492843:0xef81de4d1e62343!8m2!3d30.0252226!4d31.0130572!16s%2Fg%2F11gslvb77p!19sChIJQyhJS9tbWBQRQyPm0eQd-A4?authuser=0&hl=ar&rclk=1
verified,Banhawy clinics,Banhawy clinics,011 45054430,4.8,MEDIUM,https://www.google.com/maps/place/Banhawy+clinics/data=!4m7!3m6!1s0x145857cc82a69f35:0x10cb72a615979c02!8m2!3d30.0077769!4d30.9682607!16s%2Fg%2F11twr0mdwv!19sChIJNZ-mgsxXWBQRApyXFaZyyxA?authuser=0&hl=ar&rclk=1
verified,Dr. Kareem Bakeer “Asnan Dental Sheikh Zayed “ عياده اسنان د/ كريم بكير,Dr. Kareem Bakeer,010 13560170,5.0,HIGH,https://www.google.com/maps/place/Dr.+Kareem+Bakeer+%E2%80%9CAsnan+Dental+Sheikh+Zayed+%E2%80%9C+%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%2F+%D9%83%D8%B1%D9%8A%D9%85+%D8%A8%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14585bbd48b7ecb5:0x616eed2dfc8cc008!8m2!3d30.0311855!4d30.9953954!16s%2Fg%2F11mtb2xwmz!19sChIJtey3SL1bWBQRCMCM_C3tbmE?authuser=0&hl=ar&rclk=1
