status,clinic_name,doctor_name,phone,rating,confidence,link
verified,عيادات بانوراما كير,عيادات بانوراما كير,011 16695551,4.9,MEDIUM,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7+%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14585981b4a1180f:0x8caec5f6d82b0d16!8m2!3d30.056327!4d30.956513!16s%2Fg%2F11kxnz9_db!19sChIJDxihtIFZWBQRFg0r2PbFrow?authuser=0&hl=ar&rclk=1
verified,LDC - La Dent Care,محمد فريد,010 91101064,4.8,MEDIUM,https://www.google.com/maps/place/LDC+-+La+Dent+Care/data=!4m7!3m6!1s0x145857cf071ac0f5:0x9c8f88ce761e3ddd!8m2!3d29.9836426!4d30.9831426!16s%2Fg%2F11h3bh5z34!19sChIJ9cAaB89XWBQR3T0eds6Ij5w?authuser=0&hl=ar&rclk=1
verified,Dento Lashen - 6th October - Dr.Reham Lashen,Dr.Reham Lashen,010 93907239,4.8,HIGH,https://www.google.com/maps/place/Dento+Lashen+-+6th+October+-+Dr.Reham+Lashen/data=!4m7!3m6!1s0x145857db63e1c90f:0x89e0f71391473be1!8m2!3d29.9768954!4d30.9518821!16s%2Fg%2F11gy8d9zf6!19sChIJD8nhY9tXWBQR4TtHkRP34Ik?authuser=0&hl=ar&rclk=1
